dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se,poprisk_avg_regions_0.5_updated_r2_mean,poprisk_avg_regions_0.5_updated_r2_std,poprisk_avg_regions_0.5_delta_r2_mean,poprisk_avg_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,100,500,10.0,0.17,0.0,0.17,0.0,0.0,0.0005805170109480004,0.15,0.02,-0.02,0.011824144789370605,0.18,0.02,0.01,0.012181354604476464,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,200,500,10.0,0.17,0.0,0.17,0.0,0.0,0.0017839843048636954,0.16,0.03,-0.01,0.01602561699280249,0.17,0.02,0.0,0.011886361932904444,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,300,500,10.0,0.17,0.0,0.17,0.01,0.0,0.00342540508553368,0.19,0.02,0.02,0.008977338135549979,0.18,0.01,0.01,0.0027434285119171584,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,400,500,10.0,0.17,0.0,0.16,0.02,-0.01,0.010469813751925102,0.18,0.01,0.01,0.003985649257021997,0.18,0.02,0.01,0.010564307833455064,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,500,500,10.0,0.17,0.0,0.17,0.01,0.0,0.003900051281714127,0.2,0.04,0.03,0.020833650664249893,0.2,0.01,0.02,0.005177200015452366,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,600,500,10.0,0.17,0.0,0.17,0.02,-0.0,0.009382142612431338,0.2,0.03,0.03,0.01562104349907521,0.22,0.02,0.05,0.00817077719681549,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,700,500,10.0,0.17,0.0,0.17,0.02,-0.0,0.009544967260289583,0.22,0.01,0.05,0.004127638550067096,0.23,0.01,0.06,0.002841056141648736,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,800,500,10.0,0.17,0.0,0.17,0.02,0.0,0.009331377175958538,0.23,0.01,0.06,0.0037265802017399296,0.23,0.01,0.06,0.004611832607543337,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,900,500,10.0,0.17,0.0,0.19,0.01,0.02,0.007258278032701696,0.21,0.05,0.04,0.02390067781465622,0.21,0.04,0.04,0.01875322905528538,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,1000,500,10.0,0.17,0.0,0.18,0.02,0.01,0.009998769924345693,0.23,0.01,0.06,0.006458591177648573,0.24,0.01,0.07,0.00463773651687976,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,100,1000,10.0,0.13,0.0,0.15,0.02,0.02,0.008901202165999824,0.14,0.01,0.01,0.0059145244948347305,0.17,0.06,0.04,0.031591226630189595,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,200,1000,10.0,0.13,0.0,0.15,0.02,0.02,0.009304601012402408,0.18,0.02,0.05,0.01114342855677731,0.18,0.06,0.05,0.03235560847828394,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,300,1000,10.0,0.13,0.0,0.17,0.02,0.03,0.011722218220115165,0.22,0.0,0.09,0.002207849632561058,0.22,0.01,0.08,0.004856686112978685,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,400,1000,10.0,0.13,0.0,0.16,0.01,0.03,0.0073964450920695635,0.23,0.01,0.1,0.0039016150502067717,0.23,0.0,0.1,0.0017063411147833234,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,500,1000,10.0,0.13,0.0,0.16,0.01,0.03,0.006493335044489852,0.22,0.03,0.08,0.015174340183348992,0.24,0.0,0.1,0.0015242703172337875,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,600,1000,10.0,0.13,0.0,0.16,0.01,0.03,0.0060481071419081186,0.23,0.01,0.1,0.00617943363100535,0.24,0.01,0.11,0.002669531794154173,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,700,1000,10.0,0.13,0.0,0.18,0.02,0.05,0.008709649820744802,0.24,0.01,0.11,0.0058877330102510604,0.24,0.01,0.1,0.0029005171952601857,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,800,1000,10.0,0.13,0.0,0.18,0.02,0.05,0.007764367327735081,0.24,0.01,0.11,0.004788277352033821,0.25,0.01,0.11,0.0036591529074363675,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,900,1000,10.0,0.13,0.0,0.18,0.01,0.05,0.006411988771044445,0.25,0.0,0.12,0.0014957941034781524,0.25,0.0,0.12,0.001690443728729237,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,1000,1000,10.0,0.13,0.0,0.18,0.01,0.05,0.005925571702376068,0.25,0.01,0.11,0.0068088618725892745,0.24,0.03,0.11,0.01305892032290572,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,100,1500,10.0,0.14,0.0,0.14,0.0,0.0,0.0015951175505272326,0.15,0.01,0.02,0.003029422387188686,0.16,0.04,0.03,0.019611409944213596,0.12,0.05,-0.02,0.026936952314617922
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,200,1500,10.0,0.14,0.0,0.1,0.07,-0.04,0.03286451886153211,0.19,0.02,0.05,0.00898251635122364,0.2,0.01,0.07,0.0038723377951826454,0.16,0.03,0.02,0.01293931992030493
TOGO_PH_H2O,2_strata_desired_25ppc_1500_size,cluster_based_c1_25_c2_35,300,1500,10.0,0.14,0.0,0.13,0.05,-0.01,0.025667555395868926,0.21,0.0,0.07,0.001082866566110525,0.22,0.01,0.08,0.002832560678961704,0.16,0.03,0.02,0.013004499221423329
