dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se,poprisk_image_clusters_8_0.5_updated_r2_mean,poprisk_image_clusters_8_0.5_updated_r2_std,poprisk_image_clusters_8_0.5_delta_r2_mean,poprisk_image_clusters_8_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,100,2500,10.0,0.2,0.0,0.2,0.0,0.0,0.0009654014708917711,0.21,0.0,0.01,0.0015415576538034483,0.22,0.01,0.02,0.0037130311067913274,0.22,0.01,0.02,0.0035942454006369683
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,200,2500,10.0,0.2,0.0,0.18,0.05,-0.01,0.02261969053722884,0.2,0.04,0.0,0.017788158982873975,0.23,0.0,0.03,0.0018260887163552594,0.17,0.03,-0.03,0.01293671519358759
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,300,2500,10.0,0.2,0.0,0.21,0.01,0.01,0.003828968529512876,0.23,0.0,0.03,0.0016048052841388552,0.22,0.02,0.02,0.008030691128414789,0.23,0.0,0.03,0.001858332585949028
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,400,2500,10.0,0.2,0.0,0.17,0.04,-0.02,0.02090331074255942,0.22,0.01,0.02,0.006476387882145419,0.22,0.02,0.02,0.009684596016355044,0.22,0.02,0.02,0.010103811162130855
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,500,2500,10.0,0.2,0.0,0.16,0.05,-0.04,0.022762864494610513,0.21,0.02,0.02,0.011519748261138349,0.21,0.02,0.01,0.008668240882670488,0.21,0.02,0.01,0.011893048389710687
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,600,2500,10.0,0.2,0.0,0.16,0.04,-0.04,0.021332604154204893,0.24,0.01,0.04,0.003279786578422445,0.23,0.02,0.03,0.009620010395004782,0.24,0.01,0.04,0.006823312978311933
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,700,2500,10.0,0.2,0.0,0.16,0.04,-0.04,0.018045304098296598,0.24,0.01,0.05,0.0034331326802207927,0.25,0.0,0.05,0.0021654098919142296,0.24,0.02,0.04,0.008142518038051865
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,800,2500,10.0,0.2,0.0,0.14,0.02,-0.06,0.007556560063944439,0.25,0.01,0.05,0.0056616252083655245,0.23,0.02,0.04,0.00984664409837179,0.24,0.01,0.04,0.005517245689653491
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,900,2500,10.0,0.2,0.0,0.16,0.04,-0.04,0.021484529317627604,0.26,0.01,0.06,0.006019684377108156,0.26,0.0,0.06,0.0024232209969377474,0.25,0.01,0.05,0.002793313444638826
TOGO_PH_H2O,2_strata_desired_25ppc_2500_size,cluster_based_c1_25_c2_35,1000,2500,10.0,0.2,0.0,0.18,0.04,-0.02,0.02244672359165141,0.26,0.01,0.06,0.004872432657307847,0.26,0.0,0.06,0.0011870130580579135,0.24,0.02,0.04,0.007660117492571507
